編碼,客家語,客語標音,華語詞義,例句,翻譯,備註,詞性1,詞性2,分類
2-63,毋奈何,mˋ nai hooˋ ,承受不了、應付不了、負荷不了；沒轍,老啊！身體毋奈何。,老了！身體受不了。,,動詞,,2心理活動與感覺
2-64,多疑,dooˇ ngiˋ ,懷疑,佢敢有講實在事？大家攏真多疑。,他真的有說實話嗎？大家都很懷疑。,,動詞,,2心理活動與感覺
2-65,認,ngin ,辨認,佢真會認人，䀴過一擺即記得起來。,他很會認人，看過一次就記得起來。,,動詞,,2心理活動與感覺
2-66,忍耐,ngunˇ nai ,忍耐,膏藥，會疾嘛愛忍耐。,擦藥，會痛也要忍耐。,,動詞,,2心理活動與感覺
2-67,按算,on^ son^ ,預算、打算,"𠊎按算好啊！你做你安心。
這件事你按算仰子做？","我打算好了！你儘管放心。
這件事你打算怎麼做？",,動詞,,2心理活動與感覺
2-68,盼,pan,捨得,𠊎哪盼得你走。,我哪捨得讓你走。,,動詞,,2心理活動與感覺
2-69,清楚,cinˇ cu^ ,清楚；明白,過去恁久个事情，記毋會清楚啊。,過去那麼久的事情，記不清楚了。,,形容詞,,2心理活動與感覺
2-70,刺激,ci^ gidˊ ,刺激,這齣電影真刺激。,這部電影很刺激。,,動詞,名詞,2心理活動與感覺
2-71,笑笑,sioo^ sioo^ ,微笑,"先生笑笑和佢講事。
佢人兩儕見面，單淨笑笑無講事。","老師微笑著和他說話。
他們兩人見面，只微笑不說話。",,動詞,,2心理活動與感覺
2-72,操心擘腹,cauˇ simˇ baˊ buˊ ,憂愁、煩惱,細子大漢啊，毋使恁操心擘腹。,小孩子長大了，不用那麼憂愁。,,動詞,,2心理活動與感覺
2-73,思考,suˇ koo^ ,思考,考試遐下，緊張到歸下無法度思考。,考試那時候，緊張到完全無法思考。,,動詞,,2心理活動與感覺
2-74,承認,shinˋ ngin ,承認,做毋著即愛承認。,做錯就要承認。,,動詞,,2心理活動與感覺
2-75,衰,suiˇ ,倒楣,仰子會恁衰，連行路都會蹬着狗屎,怎麼這麼倒楣，連走路都會踩到狗屎。,,形容詞,,2心理活動與感覺
