編號,客家語,客語標音,客語音檔,華語詞義,例句,例句音檔,翻譯,備註,詞性1,詞性2,分類
7-62,門口,mun heuˊ,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-07-062.mp3,門口,門口尖等當多人，係在該排麼个？,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-07-062s.mp3,門口擠了很多人，是在排什麼隊？,,名詞,,7居家生活
7-63,鬧鐘,nau+  zhungˋ,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-07-063.mp3,鬧鐘,鬧鐘緊響當吵，遽摎佢撳忒！,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-07-063s.mp3,鬧鐘一直響很吵，快點把它按掉！,,名詞,,7居家生活
7-64,魚肉,ng ngiug,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-07-064.mp3,魚肉,這魚肉當承牙,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-07-064s.mp3,這魚肉很彈牙。,,名詞,,7居家生活
7-65,牙掃仔(牙搓仔),nga  soˇ er (nga coˇ er),https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-07-065.mp3,牙刷,牙掃仔用恁久，好換一支咧！,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-07-065s.mp3,牙刷用那麼久，該換一支了！,,名詞,,7居家生活
7-66,日誌,ngid  zhiˇ,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-07-066.mp3,日曆,壁頂个日誌愛逐日扯,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-07-066s.mp3,牆上的日曆要每天撕。,,名詞,,7居家生活
7-67,日仔,ngid er,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-07-067.mp3,日子；白天,"入新屋愛看日仔
佢个頭路做已大，日仔過到已無閒
日仔伸無幾多，你斯愛遽遽準備
熱天日仔較長，六點還光光",https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-07-067s.mp3,"搬新家要挑選日子。
他的事業做很大，日子過得很忙碌。
日子剩沒多少，你要快點準備。
夏天白晝比較長，六點了天還亮著。",,名詞,,7居家生活
7-68,艾粄,ngieˇ　banˊ,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-07-068.mp3,艾草粄,客家人在清明會打艾粄。,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-07-068s.mp3,客家人在清明節會做艾草粄。,,名詞,,7居家生活
7-69,牛乳,ngiu nenˇ,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-07-069.mp3,牛奶,阿婆朝晨頭會摝牛乳食,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-07-069s.mp3,祖母早上會泡牛奶喝。,,名詞,,7居家生活
7-70,肉,ngiug ,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-07-070.mp3,肉,"羊肉
阿姆去豬砧買脢條肉",https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-07-070s.mp3,"羊肉。
媽媽去豬肉攤買小里肌肉。",,名詞,,7居家生活
7-71,盤仔,pan er,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-07-071.mp3,盤子,洗盤仔,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-07-071s.mp3,洗盤子。,,名詞,,7居家生活
7-72,泡茶,pauˇca,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-07-072.mp3,泡茶,仰恁有閒？落來泡茶啊！,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-07-072s.mp3,怎麼那麼有空？進來泡茶啊！,,動詞,,7居家生活
7-73,便所,pien+  soˊ,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-07-073.mp3,廁所,屋下有兩間便所，當方便,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-07-073s.mp3,家裡有兩間廁所，很方便。,,名詞,,7居家生活
7-74,膨凳,pongˇ denˇ,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-07-074.mp3,沙發,一組膨凳,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-07-074s.mp3,一組沙發。,,名詞,,7居家生活
7-75,膨紗衫,pongˇ saˋ samˋ,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-07-075.mp3,毛線衣,一領膨紗衫,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-07-075s.mp3,一件毛線衣。,,名詞,,7居家生活
7-76,切,cied,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-07-076.mp3,切,"這當韌，切毋斷！
切做五垤，大家分分仔！",https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-07-076s.mp3,"這很堅韌，切不斷！
切成五塊，大家分一分！",,動詞,,7居家生活
7-77,衫,samˋ,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-07-077.mp3,上衣,老妹去學校，衫著到當正,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-07-077s.mp3,妹妹去學校，衣服穿得很整齊。,,名詞,,7居家生活
7-78,衫褲,samˋ fuˇ,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-07-078.mp3,衣服,衫褲爛空，脫下來補補啊！,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-07-078s.mp3,衣服破洞，脫下來補一補！,,名詞,,7居家生活
7-79,三餐,samˋconˋ,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-07-079.mp3,三餐,一日三餐兩點心，毋肥正怪！,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-07-079s.mp3,一日三餐兩頓點心，不肥才怪！,,名詞,,7居家生活
7-80,衫吊仔 (衫架仔、衫弓仔),samˋ diauˇ er(samˋgaˇer、 samˋ giungˋ er),https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-07-080.mp3,晾衣架,一組衫吊仔,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-07-080s.mp3,一組晾衣架。,,名詞,,7居家生活
7-81,洗衫機,seˊ  samˋ giˋ,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-07-081.mp3,洗衣機,洗衫機壞忒,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-07-081s.mp3,洗衣機壞掉。,,名詞,,7居家生活
7-82,洗身(洗身腳),seˊ shinˋ (seˊ shinˋ giog),https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-07-082.mp3,洗澡,洗身洗歸點鐘,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-07-082s.mp3,洗澡洗了整整一小時。,,動詞,,7居家生活
7-83,生活,senˋfadˋ,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-07-083.mp3,生活,生活過到當鬆容,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-07-083s.mp3,生活過得很寬裕。,,動詞,,7居家生活
7-84,燒火,shauˋfoˊ,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-07-084.mp3,燒火；將燃料放入使之燃燒起火,"用灶頭燒火煮飯
拿樵來燒火",https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-07-084s.mp3,"用灶燒火煮飯。
拿木柴來燒火。",,動詞,,7居家生活
7-85,食飯,shidˋ pon+,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-07-085.mp3,吃飯,做事喊毋停動，食飯走第一！,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-07-085s.mp3,做事喊不動，吃飯跑第一！,,動詞,,7居家生活
7-86,食夜,shidˋ rha+,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-07-086.mp3,吃晚飯,今晡日朋友湊食夜，𠊎無在屋下食哦！,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-07-086s.mp3,今天朋友邀約吃晚飯，我沒在家裡吃喔！,,動詞,,7居家生活
7-87,食朝,shidˋ zhauˋ,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-07-087.mp3,吃早飯,愛食朝，做事正有力,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-07-087s.mp3,要吃早餐，工作才有力氣。,,動詞,,7居家生活
7-88,食晝,shidˋ zhiuˇ,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-07-088.mp3,吃中飯,飯煮好哩喲！好食晝咧！,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-07-088s.mp3,飯煮好了！該吃中飯了！,,動詞,,7居家生活
7-89,食物,shidˋvudˋ,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-07-089.mp3,食物,食物愛好好保存，係無會生菇發蟲,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-07-089s.mp3,食物要好好保存，不然會發霉長蟲。,,名詞,,7居家生活
7-90,食茶,shidˋca,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-07-090.mp3,喝茶,阿賢哥，落來食茶啊！,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-07-090s.mp3,阿賢哥，進來喝茶啊！,,動詞,,7居家生活
7-91,掃,soˇ,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-07-091.mp3,掃,地泥仰掃毋淨？,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-07-091s.mp3,地板怎麼掃不乾淨？,,動詞,,7居家生活
7-92,掃地泥,soˇ ti+ nai,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-07-092.mp3,掃地,值日生愛負責掃地泥,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-07-092s.mp3,值日生要負責掃地。,,動詞,,7居家生活
