編號,客家語,客語標音,客語音檔,華語詞義,例句,例句音檔,翻譯,備註,詞性1,詞性2,分類
1-62,㞇着,uainn^ choo,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-062.mp3,扭傷,"𠊎个頸㞇着，攏無法度停動。
佢个腳㞇着，枴子擎歸半個月。",https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-062s.mp3,"我的脖子扭傷，動也不能動。
他的腳扭傷，枴杖拄了半個月。",,動詞,,1人體與醫療
1-63,膝頭,cidˊ teuˋ ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-063.mp3,膝蓋,膝頭跌到烏青,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-063s.mp3,膝蓋摔得瘀青,,名詞,,1人體與醫療
1-64,身高,shinˇ gooˇ ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-064.mp3,身高,佢个身高真堵好。,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-064s.mp3,他的身高剛剛好。,,名詞,,1人體與醫療
1-65,手骨,shiu^ gudˊ ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-065.mp3,手骨,無堵好跌倒，手骨嗄斷去！,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-065s.mp3,不小心跌倒，手骨竟然斷掉！,,名詞,,1人體與醫療
1-66,手術（開刀）,shiu^ sudˋ (koiˇ dooˇ) ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-066.mp3,手術,這擺手術真順利，兩日即會用出院啊！,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-066s.mp3,這次手術很順利，兩天就可以出院了！,,名詞,,1人體與醫療
1-67,手骨輪,shiu^ gudˊ lunˋ ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-067.mp3,手腕,阿依手骨輪着傷，疾个時連煎匙都擎毋會起來。,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-067s.mp3,媽媽手腕受傷，痛的時候連鍋鏟都拿不起來。,,名詞,,1人體與醫療
1-68,大腸,tai chongˋ ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-068.mp3,大腸,飲食愛正常，大腸正毋會著病。,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-068s.mp3,飲食要正常，大腸才不會病變。,,名詞,,1人體與醫療
1-69,痰,tamˋ ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-069.mp3,痰,毋好烏白呸痰。,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-069s.mp3,不要亂吐痰。,,名詞,,1人體與醫療
1-70,頭那殼,teuˋ naˋ kooˊ ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-070.mp3,頭殼,頭那殼真丁,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-070s.mp3,頭殼很硬,,名詞,,1人體與醫療
1-71,腦,nau^ ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-071.mp3,頭腦,營養足，頭腦即好,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-071s.mp3,營養夠，頭腦就好,,名詞,,1人體與醫療
1-72,體重,te^ chungˇ ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-072.mp3,體重,厥細子體重仰子恁輕？,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-072s.mp3,他的小孩體重怎麼那麼輕？,,名詞,,1人體與醫療
1-73,毒,tu ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-073.mp3,毒品；具毒性的,"食毒、有毒
兩尾毒蛇",https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-073s.mp3,"吸毒、有毒
兩條毒蛇",,名詞,,1人體與醫療
1-74,胃,bbui,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-074.mp3,胃,佢胃無好，食無麼个會落。,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-074s.mp3,他胃不好，吃不太下。,,名詞,,1人體與醫療
1-75,嘴鬚,zhe^ siˇ ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-075.mp3,短鬚、鬍渣,阿爸修嘴鬚無修淨俐，嘴鬚猶會刺人。,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-075s.mp3,爸爸刮鬍子沒有刮乾淨，鬍渣還刺刺的。,,名詞,,1人體與醫療
1-76,西醫,seˇ rhiˇ ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-076.mp3,西醫,䀴西醫,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-076s.mp3,看西醫,,名詞,,1人體與醫療
1-77,心臟,simˇ cong,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-077.mp3,心臟,心臟病,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-077s.mp3,心臟病,,名詞,,1人體與醫療
1-78,症頭,zhin^ teuˋ ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-078.mp3,病症,流濞係寒着个症頭。,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-078s.mp3,流鼻涕是感冒的症狀。,,名詞,,1人體與醫療
1-79,嘴角,zhe^ gooˊ ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-079.mp3,嘴的兩端，靠近臉頰的部位,飯粒黏在嘴角面上,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-079s.mp3,飯粒黏在嘴角上,,動詞,,1人體與醫療
1-80,注射,zhi^ sha,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-080.mp3,打針,直直落屎愛去病院注射。,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-080s.mp3,一直拉肚子要去醫院打針。,,動詞,,1人體與醫療
1-81,醉,zui^ ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-081.mp3,醉,食酒醉,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-081s.mp3,喝醉,,形容詞,,1人體與醫療
1-82,顫,zhinˇ ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-082.mp3,顫抖,好定泥變天，佢寒到直直顫。,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-082s.mp3,突然變天，他冷得一直顫抖。,,動詞,,1人體與醫療
1-83,著毒,choo tu,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-083.mp3,中毒,食物著毒,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-083s.mp3,食物中毒,,動詞,,1人體與醫療
1-84,中風,zhung^ fungˇ ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-084.mp3,中風,佢毋知仰子好定泥嗄中風。,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-084s.mp3,他不知怎麼好端端的卻中風。,,名詞,動詞,1人體與醫療
1-85,腫,zhung^ ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-085.mp3,腫,腳腫腫,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-085s.mp3,腳腫腫的,,形容詞,,1人體與醫療
